Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
16,Thiago Alcántara,ESP,MF,Liverpool,32,1991,0.10,10,0,4,5,1,0,10,0,0,,0,,9,33,15,0,0,0,0,9,0,2024
17,Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,23.90,2296,75,523,1217,582,34,2296,52,28,53.80,21,40.40,1250,5701,2724,45,7,27,6,1492,97,2024
18,Alisson,BRA,GK,Liverpool,30,1992,28.00,1196,754,1145,52,0,0,1196,0,0,,0,,850,3713,2361,0,0,4,0,764,0,2024
19,Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,21.50,1029,25,137,430,475,86,1029,52,23,44.20,22,42.30,652,4488,2276,78,22,30,27,741,162,2024
20,Edson Álvarez,MEX,MF,West Ham,25,1997,26.40,1599,150,565,854,201,16,1599,42,27,64.30,14,33.30,890,5147,2227,20,1,38,30,948,26,2024
21,Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,29.40,1554,20,107,473,988,149,1552,42,20,47.60,22,52.40,914,4459,2092,64,28,56,36,1103,180,2024
22,Zeki Amdouni,SUI,FW,Burnley,22,2000,21.70,789,24,94,379,337,68,788,88,29,33.00,47,53.40,468,3229,1654,63,20,67,32,513,93,2024
23,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,10.40,770,48,218,439,120,1,770,10,6,60.00,2,20.00,489,2362,947,6,0,9,11,545,10,2024
24,Joachim Andersen,DEN,DF,Crystal Palace,27,1996,37.90,2609,337,1320,1160,140,44,2609,23,14,60.90,6,26.10,1367,7243,4207,21,0,11,6,1604,10,2024
25,Elliot Anderson,ENG,"MF,FW",Newcastle Utd,20,2002,11.40,640,23,109,278,267,46,640,43,21,48.80,18,41.90,364,2272,1213,37,4,28,22,416,70,2024
26,Jaidon Anthony,ENG,FW,Bournemouth,23,1999,1.70,69,2,15,27,27,4,69,6,2,33.30,3,50.00,36,160,77,2,0,5,2,40,9,2024
27,Michail Antonio,JAM,FW,West Ham,33,1990,18.80,527,7,49,226,259,59,527,62,29,46.80,26,41.90,345,2320,1084,48,19,69,39,398,104,2024
28,Antony,BRA,FW,Manchester Utd,23,2000,14.70,815,17,106,304,428,58,815,71,26,36.60,33,46.50,549,3686,1953,53,23,26,19,571,149,2024
29,Oliver Arblaster,ENG,MF,Sheffield Utd,19,2004,10.50,555,31,135,335,93,4,555,26,17,65.40,6,23.10,281,1521,661,14,3,13,8,317,4,2024
30,Cameron Archer,ENG,"FW,MF",Sheffield Utd,22,2001,20.40,563,13,63,205,307,69,563,61,30,49.20,29,47.50,346,2187,982,33,22,61,45,387,114,2024
31,Cameron Archer,ENG,MF,Aston Villa,22,2001,0.10,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,0,1,0,7,0,2024
32,Alphonse Areola,FRA,GK,West Ham,30,1993,30.00,976,835,969,7,0,0,976,1,1,100.00,0,0.00,498,3168,1945,0,0,0,0,345,0,2024
33,Lorenz Assignon,TOG,DF,Burnley,23,2000,13.70,670,46,210,270,207,30,670,32,13,40.60,17,53.10,283,1862,1063,38,12,27,13,303,57,2024
34,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,30,1992,9.30,568,39,165,280,127,13,568,14,3,21.40,11,78.60,249,1039,532,10,1,9,8,347,29,2024
35,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,25,1997,11.60,294,14,30,153,118,43,294,16,8,50.00,7,43.80,168,748,320,8,6,38,11,209,45,2024
36,Jordan Ayew,GHA,"FW,MF",Crystal Palace,31,1991,28.30,1349,24,182,592,598,95,1349,130,52,40.00,57,43.80,836,5509,2119,74,20,85,80,967,173,2024
37,Benoît Badiashile,FRA,DF,Chelsea,22,2001,14.90,1321,178,662,612,52,11,1321,1,0,0.00,0,0.00,765,3225,1734,3,1,6,4,976,3,2024
38,Leon Bailey,JAM,"MF,FW",Aston Villa,25,1997,23.00,1040,19,151,318,589,129,1040,119,57,47.90,50,42.00,717,5148,2495,102,41,51,41,764,226,2024
39,Stefan Bajcetic,ESP,MF,Liverpool,18,2004,0.30,12,0,4,8,0,0,12,0,0,,0,,9,46,24,0,0,0,0,9,0,2024
40,George Baldock,GRE,DF,Sheffield Utd,30,1993,10.80,505,66,200,192,116,9,505,11,6,54.50,4,36.40,238,988,463,9,4,9,9,258,24,2024
41,Carlos Baleba,CMR,MF,Brighton,19,2004,14.70,965,65,255,580,139,5,965,22,11,50.00,6,27.30,571,2903,1423,19,1,16,16,664,9,2024
42,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,26,1997,0.80,91,4,35,39,18,1,91,6,3,50.00,2,33.30,48,300,163,5,1,0,0,50,4,2024
43,Shandon Baptiste,GRN,MF,Brentford,25,1998,2.50,130,7,41,57,34,6,130,11,6,54.50,5,45.50,64,322,170,3,0,8,0,69,1,2024
44,Valentín Barco,ARG,"DF,FW",Brighton,19,2004,3.40,274,7,73,102,100,5,274,11,5,45.50,4,36.40,181,697,367,8,0,5,4,188,20,2024
45,Ross Barkley,ENG,MF,Luton Town,29,1993,29.10,1777,73,374,1011,430,39,1777,104,66,63.50,34,32.70,1006,6393,2810,48,4,27,56,1114,39,2024
46,Harvey Barnes,ENG,"FW,MF",Newcastle Utd,25,1997,8.90,360,5,48,117,200,60,360,25,7,28.00,14,56.00,266,1782,1093,45,23,12,16,285,79,2024
47,Chris Basham,ENG,"DF,MF",Sheffield Utd,35,1988,3.60,185,26,84,69,32,5,185,4,3,75.00,1,25.00,72,320,163,1,0,2,2,89,6,2024
48,Calvin Bassey,NGA,DF,Fulham,23,1999,25.60,1901,305,1054,830,37,9,1901,14,11,78.60,2,14.30,1179,6037,3035,15,2,12,8,1291,4,2024
49,Owen Beck,WAL,DF,Liverpool,20,2002,0.10,8,0,3,4,2,0,8,1,0,0.00,1,100.00,4,43,1,0,0,1,0,4,1,2024
50,Donny van de Beek,NED,DF,Manchester Utd,26,1997,0.00,4,0,0,2,2,2,4,0,0,,0,,1,1,0,0,0,1,0,1,1,2024
51,Amari'i Bell,JAM,DF,Luton Town,29,1994,19.10,1070,101,480,486,117,5,1070,27,10,37.00,15,55.60,584,3640,2020,32,1,18,5,607,10,2024
52,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,25,1998,10.60,478,25,86,201,199,30,478,39,17,43.60,17,43.60,268,1850,880,30,5,25,19,302,49,2024
53,Anis Ben Slimane,TUN,MF,Sheffield Utd,22,2001,4.70,216,15,46,108,65,12,216,17,2,11.80,13,76.50,109,452,168,3,3,8,12,120,21,2024
54,Saïd Benrahma,ALG,"FW,MF",West Ham,27,1995,6.90,355,11,65,128,168,35,354,38,14,36.80,21,55.30,238,1687,790,28,15,14,8,245,70,2024
55,Rodrigo Bentancur,URU,MF,Tottenham,26,1997,11.20,932,36,174,513,250,29,932,21,11,52.40,8,38.10,575,2778,1154,16,2,16,19,732,31,2024
56,Daniel Bentley,ENG,GK,Wolves,30,1993,4.30,151,120,149,2,0,0,151,0,0,,0,,66,318,181,0,0,0,0,76,0,2024
57,Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,32,1990,13.20,656,25,108,284,268,26,656,16,5,31.30,7,43.80,371,1836,605,13,2,20,15,420,69,2024
58,Sander Berge,NOR,MF,Burnley,25,1998,33.40,1887,133,494,997,414,41,1887,41,20,48.80,16,39.00,1076,6419,3091,64,9,23,23,1233,29,2024
59,Luke Berry,ENG,"MF,DF",Luton Town,31,1992,3.60,143,5,28,70,46,13,143,3,2,66.70,0,0.00,56,140,30,1,0,5,4,70,7,2024
60,Beto,GNB,FW,Everton,25,1998,10.60,373,16,30,141,206,64,372,35,15,42.90,17,48.60,183,1021,384,14,13,47,22,250,58,2024
61,Jordan Beyer,GER,DF,Burnley,23,2000,13.70,1022,159,570,429,26,8,1022,7,4,57.10,2,28.60,624,3314,2089,9,0,5,1,678,1,2024
62,Philip Billing,DEN,MF,Bournemouth,27,1996,15.50,755,43,139,337,286,60,755,33,12,36.40,18,54.50,366,1772,798,22,6,27,17,438,63,2024
63,Yves Bissouma,MLI,MF,Tottenham,26,1996,23.00,2119,97,469,1226,443,19,2119,47,27,57.40,12,25.50,1367,7132,3006,43,7,33,30,1641,13,2024
64,Benicio Boaitey,ENG,"FW,DF",Brighton,19,2004,0.40,30,1,6,6,19,1,30,1,1,100.00,0,0.00,19,105,40,1,1,2,1,23,2,2024
65,Oscar Bobb,NOR,"FW,MF",Manchester City,20,2003,3.40,219,4,13,36,173,27,219,18,11,61.10,6,33.30,139,671,395,13,5,6,6,159,38,2024
66,Jayden Bogle,ENG,DF,Sheffield Utd,23,2000,31.00,1376,145,531,537,330,55,1376,60,25,41.70,27,45.00,592,3521,1441,38,11,51,27,677,92,2024
67,Willy Boly,CIV,DF,Nott'ham Forest,32,1991,16.00,895,148,502,334,61,34,895,7,3,42.90,2,28.60,380,1713,864,4,1,4,3,447,3,2024
68,Sven Botman,NED,DF,Newcastle Utd,23,2000,15.30,1154,186,676,450,29,20,1154,2,0,0.00,2,100.00,672,2866,1403,0,0,5,2,822,5,2024
69,Jarrod Bowen,ENG,FW,West Ham,26,1996,33.50,1094,20,135,410,571,174,1094,97,34,35.10,55,56.70,666,4859,2141,90,49,79,58,745,186,2024
70,Conor Bradley,NIR,DF,Liverpool,20,2003,8.40,661,14,140,289,243,38,661,30,13,43.30,14,46.70,373,2144,1085,35,12,17,10,388,64,2024
71,Jarrad Branthwaite,ENG,DF,Everton,21,2002,34.60,1791,307,961,777,61,39,1791,8,5,62.50,2,25.00,759,3161,1557,2,1,20,2,903,6,2024
72,Ben Brereton,CHI,"FW,MF",Sheffield Utd,24,1999,12.30,388,14,44,168,185,51,387,28,10,35.70,17,60.70,234,1449,669,23,19,23,16,282,78,2024
73,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,23,2000,3.80,113,2,9,47,57,16,113,5,0,0.00,4,80.00,62,201,75,1,3,8,8,81,21,2024
74,Armando Broja,ALB,FW,Chelsea,21,2001,5.00,167,3,9,56,106,35,167,31,13,41.90,16,51.60,117,695,286,11,8,17,14,131,37,2024
75,Armando Broja,ALB,FW,Fulham,21,2001,1.00,43,0,5,15,23,4,43,6,2,33.30,4,66.70,23,162,62,2,0,3,4,37,7,2024
76,Andre Brooks,ENG,"MF,DF",Sheffield Utd,19,2003,10.40,394,16,75,209,117,16,394,25,13,52.00,11,44.00,207,1260,500,12,1,22,19,218,22,2024
77,David Brooks,WAL,"FW,MF",Bournemouth,26,1997,3.10,177,2,25,72,83,11,177,10,4,40.00,6,60.00,102,680,279,8,1,7,1,113,27,2024
78,Jacob Brown,SCO,"MF,FW",Luton Town,25,1998,11.30,427,30,103,152,181,50,427,25,6,24.00,16,64.00,200,1112,504,25,9,24,25,237,53,2024
79,Josh Brownhill,ENG,MF,Burnley,27,1995,25.00,1351,71,326,627,410,42,1351,13,7,53.80,6,46.20,551,2278,1018,19,3,17,14,702,36,2024
80,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,24,1998,13.90,720,20,97,229,401,89,719,55,20,36.40,31,56.40,398,2539,1351,61,33,28,10,449,146,2024
81,Hugo Bueno,ESP,"DF,MF",Wolves,20,2002,8.20,517,33,180,208,130,9,517,23,8,34.80,11,47.80,266,1575,785,22,2,7,14,306,40,2024
82,Santiago Bueno,URU,DF,Wolves,24,1998,9.10,566,77,301,250,18,1,566,1,1,100.00,0,0.00,330,1726,988,3,0,1,2,400,2,2024
83,Facundo Buonanotte,ARG,"FW,MF",Brighton,18,2004,15.20,673,21,91,316,277,35,673,52,18,34.60,28,53.80,421,2342,898,23,8,42,33,480,69,2024
84,Reece Burke,ENG,DF,Luton Town,26,1996,18.40,929,98,378,440,117,20,929,8,4,50.00,2,25.00,455,2080,1210,11,0,18,5,508,14,2024
85,Dan Burn,ENG,DF,Newcastle Utd,31,1992,30.30,2007,204,948,851,212,46,2007,6,4,66.70,2,33.30,924,3930,1664,14,3,15,10,1150,25,2024
86,Mason Burstow,ENG,FW,Chelsea,19,2003,0.10,6,0,0,1,5,1,6,0,0,,0,,2,1,0,0,0,1,0,3,1,2024
87,Moisés Caicedo,ECU,MF,Chelsea,21,2001,31.80,2452,122,687,1405,382,9,2452,56,26,46.40,24,42.90,1378,5497,2466,27,1,36,24,1828,27,2024
88,Tom Cairney,SCO,MF,Fulham,32,1991,16.50,1398,27,243,761,422,31,1398,33,26,78.80,5,15.20,931,4502,2261,35,6,29,24,1128,72,2024
89,Dominic Calvert-Lewin,ENG,FW,Everton,26,1997,24.10,738,50,79,263,399,124,736,43,14,32.60,26,60.50,357,2068,794,36,22,65,25,565,122,2024
90,Thomas Cannon,IRL,FW,Everton,20,2002,0.00,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2024
91,Diego Carlos,BRA,DF,Aston Villa,30,1993,20.20,1517,244,867,610,43,23,1517,4,2,50.00,2,50.00,1013,4786,2606,4,1,8,4,1118,1,2024
92,Cesare Casadei,ITA,"FW,MF",Chelsea,20,2003,0.90,81,6,17,49,15,1,81,2,2,100.00,0,0.00,36,234,59,1,0,3,0,62,3,2024
93,Casemiro,BRA,"MF,DF",Manchester Utd,31,1992,22.00,1762,169,646,884,245,45,1762,18,9,50.00,8,44.40,984,3576,1729,12,1,15,17,1163,36,2024
94,Kaelan Casey,ENG,DF,West Ham,18,2004,0.00,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,2024
95,Matty Cash,POL,DF,Aston Villa,25,1997,23.80,1497,89,491,657,364,54,1497,41,12,29.30,20,48.80,861,4885,2233,62,18,21,15,896,101,2024
96,Timothy Castagne,BEL,DF,Fulham,27,1995,29.30,1937,116,697,831,418,58,1937,30,17,56.70,10,33.30,879,3780,1855,48,6,25,10,1121,113,2024
97,Jonny Castro,ESP,MF,Wolves,29,1994,0.10,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,2024
98,Trevoh Chalobah,ENG,DF,Chelsea,24,1999,10.60,886,122,454,372,63,4,886,2,1,50.00,1,50.00,475,1552,709,5,2,10,3,633,9,2024
99,Calum Chambers,ENG,"MF,DF",Aston Villa,28,1995,1.70,129,9,68,49,12,0,129,1,1,100.00,0,0.00,78,349,158,0,0,0,1,99,1,2024
100,Youssef Chermiti,POR,FW,Everton,19,2004,2.30,106,3,11,37,59,19,106,11,3,27.30,7,63.60,55,320,105,5,3,14,6,76,15,2024
101,Ben Chilwell,ENG,DF,Chelsea,26,1996,8.40,605,21,129,258,221,28,605,19,7,36.80,8,42.10,333,1713,844,22,5,21,5,394,59,2024
102,Tawanda Chirewa,ZIM,"MF,FW",Wolves,19,2003,1.60,86,2,17,44,26,5,86,3,1,33.30,2,66.70,49,189,55,1,1,7,3,62,8,2024
103,Leon Chiwome,ENG,FW,Wolves,17,2006,1.90,39,3,5,25,10,4,39,0,0,,0,,16,86,50,1,1,3,2,18,7,2024
104,Tahith Chong,NED,"MF,FW",Luton Town,23,1999,22.00,819,30,160,351,324,52,819,72,25,34.70,32,44.40,520,3559,1880,57,9,59,40,560,101,2024
105,Ryan Christie,SCO,MF,Bournemouth,28,1995,32.30,1737,88,339,876,564,69,1737,98,51,52.00,41,41.80,933,5769,2681,60,14,58,47,987,78,2024
106,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,19,2003,2.50,167,1,21,77,72,12,167,12,2,16.70,10,83.30,107,646,231,4,2,5,4,129,19,2024
107,Bobby Clark,ENG,MF,Liverpool,18,2005,1.00,70,4,11,34,26,6,70,4,0,0.00,3,75.00,45,286,149,3,2,3,6,48,7,2024
108,Jordan Clark,ENG,MF,Luton Town,29,1993,14.50,694,36,130,339,234,42,694,42,12,28.60,24,57.10,385,2122,1004,21,7,25,21,439,39,2024
109,Nathaniel Clyne,ENG,DF,Crystal Palace,32,1991,14.90,722,40,273,323,131,7,722,16,8,50.00,6,37.50,326,1435,658,10,1,13,0,412,18,2024
110,Séamus Coleman,IRL,DF,Everton,34,1988,7.40,388,42,136,152,103,3,388,13,6,46.20,7,53.80,162,837,387,5,1,7,4,176,16,2024
111,Nathan Collins,IRL,DF,Brentford,22,2001,29.50,1879,305,1049,696,140,48,1879,17,11,64.70,2,11.80,999,4658,2636,11,0,22,13,1126,18,2024
112,Levi Colwill,ENG,DF,Chelsea,20,2003,20.00,1392,108,570,669,164,26,1392,13,9,69.20,4,30.80,766,3602,1985,23,2,22,4,873,27,2024
113,Lewis Cook,ENG,MF,Bournemouth,26,1997,31.00,1773,92,418,1003,382,9,1773,36,21,58.30,14,38.90,786,3970,1971,22,0,35,19,865,15,2024
114,Jack Cork,ENG,MF,Burnley,34,1989,0.30,37,0,4,23,11,1,37,0,0,,0,,24,146,98,4,0,0,0,30,1,2024
115,Maxwel Cornet,CIV,"MF,FW",West Ham,26,1996,1.20,68,1,12,22,35,8,68,2,0,0.00,1,50.00,34,280,84,3,2,1,3,41,8,2024
116,Vladimír Coufal,CZE,DF,West Ham,30,1992,34.80,2025,163,728,814,501,26,2025,38,12,31.60,19,50.00,885,4956,2431,68,4,28,13,1010,126,2024
117,Philippe Coutinho,BRA,"MF,FW",Aston Villa,31,1992,0.30,30,0,4,18,9,1,30,5,4,80.00,1,20.00,26,222,134,5,0,2,0,29,2,2024
118,Aaron Cresswell,ENG,"DF,FW",West Ham,33,1989,4.80,326,18,125,141,61,1,326,1,0,0.00,1,100.00,169,522,220,4,0,0,2,210,6,2024
119,Marc Cucurella,ESP,DF,Chelsea,25,1998,19.80,1426,91,575,590,270,27,1426,13,4,30.80,7,53.80,657,2861,1579,31,3,15,6,873,73,2024
120,Josh Cullen,IRL,MF,Burnley,27,1996,22.90,1555,65,342,905,321,18,1555,13,3,23.10,5,38.50,848,3351,1691,22,2,17,10,1065,22,2024
121,Matheus Cunha,BRA,"FW,MF",Wolves,24,1999,27.10,1220,30,169,611,474,121,1219,140,64,45.70,61,43.60,718,5683,3203,107,38,80,53,885,139,2024
122,Sam Curtis,IRL,DF,Sheffield Utd,17,2005,0.30,14,0,8,4,2,0,14,0,0,,0,,1,1,0,0,0,0,1,9,1,2024
123,Mahmoud Dahoud,GER,MF,Brighton,27,1996,5.00,368,12,86,225,58,4,368,5,2,40.00,3,60.00,239,951,406,4,1,6,5,303,6,2024
124,Ameen Al-Dakhil,BEL,DF,Burnley,21,2002,11.70,749,83,355,339,58,10,749,5,3,60.00,2,40.00,491,2471,1351,7,0,8,6,495,9,2024
125,Diogo Dalot,POR,DF,Manchester Utd,24,1999,35.30,2196,185,752,873,587,48,2196,52,31,59.60,18,34.60,1150,5414,2901,52,10,24,11,1256,111,2024
126,Danilo,BRA,MF,Nott'ham Forest,22,2001,19.90,977,79,281,521,191,16,977,26,17,65.40,9,34.60,514,2532,1167,22,3,24,13,591,28,2024
127,Arnaut Danjuma,NED,"MF,FW",Everton,26,1997,6.60,223,4,23,77,127,32,223,21,8,38.10,11,52.40,147,1182,599,24,11,10,7,147,44,2024
128,Jayden Danns,ENG,FW,Liverpool,17,2006,0.10,7,0,0,3,4,0,7,0,0,,0,,3,11,5,0,0,0,0,4,2,2024
129,Josh Dasilva,ENG,"DF,FW",Brentford,24,1998,0.30,26,1,1,6,19,6,26,4,2,50.00,2,50.00,17,153,69,2,2,2,4,17,5,2024
130,David Datro Fofana,CIV,FW,Burnley,20,2002,9.80,307,10,36,130,147,45,307,41,15,36.60,22,53.70,187,1226,527,21,11,37,20,222,39,2024
131,Ben Davies,WAL,DF,Tottenham,30,1993,12.10,972,97,406,473,96,23,972,10,4,40.00,6,60.00,593,3265,2044,13,1,2,3,685,20,2024
132,Tom Davies,ENG,MF,Sheffield Utd,25,1998,2.50,142,9,44,65,34,5,142,8,2,25.00,5,62.50,67,381,167,3,1,3,4,76,3,2024
133,Craig Dawson,ENG,DF,Wolves,33,1990,24.50,1529,292,889,592,54,34,1529,3,3,100.00,0,0.00,896,4227,1932,1,0,5,2,997,4,2024
134,Kevin De Bruyne,BEL,MF,Manchester City,32,1991,13.60,1103,2,35,354,724,86,1103,33,10,30.30,21,63.60,633,2916,1647,47,12,13,20,833,133,2024
135,Hannes Delcroix,BEL,DF,Burnley,24,1999,6.50,419,42,175,204,40,4,419,6,3,50.00,2,33.30,241,847,451,2,0,5,3,268,6,2024
136,Leander Dendoncker,BEL,MF,Aston Villa,28,1995,1.30,80,4,31,39,12,2,80,0,0,,0,,36,124,27,0,0,2,1,39,2,2024
137,Moussa Diaby,FRA,"FW,MF",Aston Villa,24,1999,24.20,824,12,69,298,470,136,824,70,29,41.40,37,52.90,568,3926,2013,94,39,33,30,620,183,2024
138,Amad Diallo,CIV,"FW,MF",Manchester Utd,21,2002,4.30,231,8,28,94,110,24,231,23,11,47.80,10,43.50,146,1035,355,11,4,7,14,163,31,2024
139,Amadou Diallo,ENG,MF,Newcastle Utd,20,2003,0.00,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,1,0,2024
140,Rúben Dias,POR,DF,Manchester City,26,1997,28.40,2877,231,1002,1600,282,34,2877,1,0,0.00,1,100.00,1996,10862,6693,34,1,10,7,2301,16,2024
141,Luis Díaz,COL,FW,Liverpool,26,1997,29.20,1453,10,94,529,858,219,1453,140,67,47.90,57,40.70,1017,7500,3690,137,70,69,72,1128,302,2024
142,Eric Dier,ENG,DF,Tottenham,29,1994,2.20,164,38,106,57,2,2,164,0,0,,0,,97,291,119,0,0,1,0,112,0,2024
143,Lucas Digne,FRA,DF,Aston Villa,30,1993,26.80,1590,71,468,541,593,56,1590,33,10,30.30,16,48.50,840,3630,1786,42,4,16,15,925,200,2024
144,Issa Diop,FRA,DF,Fulham,26,1997,15.80,1258,168,669,568,24,7,1258,1,1,100.00,0,0.00,794,4396,2661,11,0,3,5,884,1,2024
145,Axel Disasi,FRA,DF,Chelsea,25,1998,28.70,2496,291,1193,1140,175,24,2496,22,12,54.50,5,22.70,1613,7182,4223,30,3,16,12,1892,21,2024
146,Ben Doak,SCO,FW,Liverpool,17,2005,0.20,6,0,0,2,4,0,6,0,0,,0,,4,7,2,0,0,2,0,4,0,2024
147,Lewis Dobbin,ENG,MF,Everton,20,2003,2.60,127,0,24,42,65,11,127,21,6,28.60,15,71.40,89,622,211,6,4,12,6,80,20,2024
148,Matt Doherty,IRL,"DF,MF",Wolves,31,1992,12.80,811,60,274,336,205,31,811,14,6,42.90,7,50.00,325,1293,597,12,3,17,6,481,64,2024
149,Jeremy Doku,BEL,"FW,MF",Manchester City,21,2002,17.70,1161,5,76,275,825,226,1161,169,87,51.50,64,37.90,879,7535,4884,218,147,52,37,937,295,2024
150,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,25,1998,16.60,1049,39,266,542,248,33,1049,17,7,41.20,8,47.10,492,2030,1106,14,2,21,7,628,43,2024
151,Jamie Donley,ENG,FW,Tottenham,18,2005,0.00,7,2,4,2,1,0,7,1,0,0.00,1,100.00,2,9,8,0,0,0,1,1,0,2024
152,Abdoulaye Doucouré,MLI,"FW,MF",Everton,30,1993,29.20,1190,36,188,523,495,100,1190,48,25,52.10,21,43.80,635,3292,1692,55,17,61,42,800,140,2024
153,Cheick Doucouré,MLI,MF,Crystal Palace,23,2000,10.20,545,25,145,312,97,7,545,13,10,76.90,3,23.10,276,1153,579,9,1,16,8,318,5,2024
154,Alfie Doughty,ENG,DF,Luton Town,23,1999,32.50,1998,102,541,665,818,76,1998,67,33,49.30,24,35.80,897,5522,2794,94,28,51,13,968,164,2024
155,Tommy Doyle,ENG,MF,Wolves,21,2001,13.60,1061,40,265,620,182,6,1061,3,1,33.30,1,33.30,637,3091,1408,21,2,7,7,766,17,2024
156,Radu Dr?gu?in,ROU,DF,Tottenham,21,2002,4.80,411,44,217,189,7,2,411,3,1,33.30,1,33.30,284,1550,738,5,1,1,1,312,1,2024
157,Martin Dúbravka,SVK,GK,Newcastle Utd,34,1989,22.10,709,604,702,7,0,0,709,0,0,,0,,378,2050,1374,0,0,3,0,260,0,2024
158,Paul Dummett,WAL,DF,Newcastle Utd,31,1991,0.20,26,3,7,16,3,1,26,0,0,,0,,12,54,33,1,0,0,0,20,0,2024
159,Lewis Dunk,ENG,DF,Brighton,31,1991,31.90,3481,554,1811,1542,145,51,3481,8,5,62.50,2,25.00,2417,10752,5605,33,2,9,2,2681,13,2024
160,Jáder Durán,COL,"FW,MF",Aston Villa,19,2003,5.30,189,8,22,90,80,27,189,5,2,40.00,3,60.00,102,508,206,9,5,16,14,138,25,2024
161,George Earthy,ENG,FW,West Ham,18,2004,0.40,18,0,3,7,8,1,18,0,0,,0,,13,48,13,0,0,0,0,15,3,2024
162,Ederson,BRA,GK,Manchester City,29,1993,30.90,1283,965,1263,20,0,0,1283,1,1,100.00,0,0.00,847,3714,2353,0,0,0,0,842,0,2024
163,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,25,1998,17.30,597,18,59,222,326,98,597,50,19,38.00,24,48.00,341,1762,877,33,25,55,26,415,100,2024
164,John Egan,IRL,DF,Sheffield Utd,30,1992,5.40,257,58,163,81,13,9,257,0,0,,0,,106,485,233,0,0,2,1,133,1,2024
165,Hjalmar Ekdal,SWE,DF,Burnley,24,1998,4.90,268,36,131,124,15,3,268,3,2,66.70,1,33.30,142,885,523,5,0,2,1,150,1,2024
166,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,21,2002,27.00,1022,25,181,348,507,122,1022,76,28,36.80,42,55.30,625,4704,2514,98,42,67,22,740,196,2024
167,Harvey Elliott,ENG,"MF,FW",Liverpool,20,2003,15.00,1141,8,91,546,512,71,1141,20,9,45.00,10,50.00,722,3946,1753,44,9,15,9,860,122,2024
168,Mohamed Elneny,EGY,MF,Arsenal,31,1992,0.30,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,1,0,37,0,2024
169,Emerson,BRA,DF,Tottenham,24,1999,12.90,1220,103,462,517,249,12,1220,21,10,47.60,6,28.60,686,2759,1292,21,2,15,12,814,35,2024
170,Julio Enciso,PAR,"MF,FW",Brighton,19,2004,5.30,257,5,24,106,131,21,257,29,17,58.60,7,24.10,193,1299,839,28,7,15,8,202,29,2024
171,Wataru Endo,JPN,MF,Liverpool,30,1993,19.10,1514,48,295,1002,224,9,1514,16,10,62.50,5,31.30,890,3465,1523,10,2,27,22,1098,21,2024
172,Christian Eriksen,DEN,MF,Manchester Utd,31,1992,12.70,896,27,165,492,246,12,896,6,3,50.00,3,50.00,515,2319,1199,20,2,8,14,620,23,2024
173,Maxime Estève,FRA,DF,Burnley,21,2002,14.50,979,158,465,463,52,8,979,3,1,33.30,0,0.00,514,2716,1664,15,2,5,3,600,3,2024
174,Pervis Estupiñán,ECU,DF,Brighton,25,1998,13.80,1109,56,256,546,316,37,1109,23,9,39.10,9,39.10,693,3046,1806,47,13,20,6,735,88,2024
175,Jonny Evans,NIR,DF,Manchester Utd,35,1988,15.50,1005,185,556,420,31,8,1005,7,4,57.10,2,28.60,567,2683,1441,7,0,5,3,625,1,2024
176,Eberechi Eze,ENG,"MF,FW",Crystal Palace,25,1998,22.80,1274,11,121,522,658,103,1273,140,69,49.30,64,45.70,789,4822,2098,68,43,77,48,887,139,2024
177,?ukasz Fabia?ski,POL,GK,West Ham,38,1985,8.00,260,222,255,5,0,0,260,0,0,,0,,140,822,585,0,0,0,0,94,0,2024
178,Romain Faivre,FRA,"MF,FW",Bournemouth,25,1998,0.50,37,1,3,15,19,3,37,7,2,28.60,3,42.90,24,215,121,4,0,3,1,31,4,2024
